epoch,train_loss,train_acc,val_loss,val_acc
1,0.10579726142049939,0.921833336353302,0.05431270853926738,0.9763333201408386
2,0.04422755284165895,0.9818333387374878,0.039529872965067624,0.9826666712760925
3,0.03552444592049277,0.9863518476486206,0.033421333475659294,0.9881666898727417
4,0.030389884890367588,0.9883703589439392,0.029379908616344135,0.9881666898727417
5,0.027124014510600654,0.9898518323898315,0.02654574721430739,0.9900000095367432
6,0.02447469903294135,0.9908888936042786,0.02678632801398635,0.9878333210945129
7,0.02224467866881578,0.9924814701080322,0.02250538851755361,0.9915000200271606
8,0.020963762462553052,0.9929629564285278,0.021427514869719742,0.9911666512489319
9,0.01975071203067071,0.9932036995887756,0.020952460557843246,0.9909999966621399
10,0.018530688717685363,0.9939073920249939,0.019320558368538816,0.9926666617393494
11,0.017679648837764506,0.9942222237586975,0.01994873289950192,0.9915000200271606
12,0.0166062637232244,0.9950925707817078,0.018590932634348672,0.9913333058357239
13,0.015918770392804787,0.9953333139419556,0.01752284080721438,0.9931666851043701
14,0.015252602077951585,0.995629608631134,0.01727437456138432,0.9928333163261414
15,0.0147544933879679,0.9959444403648376,0.017250542684147756,0.9933333396911621
16,0.014019659551343433,0.9964073896408081,0.016908562555909157,0.9919999837875366
17,0.013724915327987185,0.9966481328010559,0.0165890129438291,0.9919999837875366
18,0.013219218777009734,0.9965000152587891,0.0159770870115608,0.9919999837875366
19,0.012870078970229737,0.9968518614768982,0.01525593469850719,0.9931666851043701
20,0.012734976265993384,0.9968147873878479,0.01493291382988294,0.9936666488647461
21,0.012230381204022301,0.9974444508552551,0.015004677868758639,0.9925000071525574
22,0.012036533136334683,0.9973333477973938,0.014840799958134691,0.9936666488647461
23,0.011716782996706941,0.9974629878997803,0.01415818971581757,0.9946666955947876
24,0.011493812598012111,0.997259259223938,0.014258966594934464,0.9938333630561829
25,0.011362732702831703,0.9974629878997803,0.014324073307216167,0.9934999942779541
26,0.011240817458127383,0.99742591381073,0.01361312580605348,0.9943333268165588
27,0.010959918866003001,0.9977222084999084,0.01411689401914676,0.9940000176429749
28,0.011009199692246814,0.9975000023841858,0.01358022129473587,0.9950000047683716
29,0.010744311162960474,0.9981111288070679,0.013757394642258685,0.9950000047683716
30,0.010635818118505455,0.9980740547180176,0.013575090134205917,0.9943333268165588
31,0.010502588966240485,0.9978888630867004,0.014513992448337376,0.9921666383743286
32,0.010416638395852513,0.9980925917625427,0.013543207415690024,0.9941666722297668
33,0.01040247616927243,0.9979259371757507,0.01335279451838384,0.9943333268165588
34,0.010287942448458463,0.9979259371757507,0.013028820479909579,0.9943333268165588
35,0.01027829545567295,0.9980740547180176,0.01277914986324807,0.9959999918937683
36,0.01018096175889864,0.9980185031890869,0.012774206783312063,0.9953333139419556
37,0.010149828555855762,0.9981851577758789,0.013087754650041462,0.9946666955947876
38,0.010145342942430741,0.9980185031890869,0.012713390231753389,0.9943333268165588
39,0.009943489863157825,0.9983333349227905,0.013015723538895447,0.9946666955947876
40,0.00995567958905465,0.9982777833938599,0.013440806589399775,0.9931666851043701
41,0.00989386827805666,0.9983333349227905,0.013189342540378372,0.9946666955947876
42,0.009890611045476463,0.9982777833938599,0.01280941793229431,0.9941666722297668
43,0.00985378369913195,0.998370349407196,0.012772721781705817,0.9950000047683716
44,0.00979593893840771,0.998370349407196,0.013025213064004977,0.9938333630561829
45,0.00978038925677538,0.9984074234962463,0.012844138390695056,0.9950000047683716
46,0.009696047097720482,0.998629629611969,0.012465454327563444,0.9940000176429749
47,0.009760690659836486,0.9984259009361267,0.012831561701993148,0.9944999814033508
48,0.009720210317108366,0.9984074234962463,0.012350007131074866,0.9953333139419556
49,0.009703830985731824,0.9984999895095825,0.012906637919756273,0.9943333268165588
50,0.009741256814622493,0.998370349407196,0.012417215310658017,0.9953333139419556
