epoch,train_loss,train_acc,val_loss,val_acc
1,0.2091794038122451,0.7428518533706665,0.1505059737712145,0.815833330154419
2,0.13996502043748343,0.8333518505096436,0.1358932356039683,0.8413333296775818
3,0.12582138520148065,0.8502407670021057,0.1268538655092319,0.8478333353996277
4,0.1171730723645952,0.8617592453956604,0.11404950991272926,0.8628333210945129
5,0.11196529113308147,0.8670740723609924,0.11556792346139749,0.8616666793823242
6,0.10616876332572213,0.8755740523338318,0.10575312164922555,0.871833324432373
7,0.1014941074161066,0.8800926208496094,0.10425435192883015,0.875166654586792
8,0.09785217366836689,0.8851110935211182,0.10178682344655196,0.8744999766349792
9,0.09450548921746237,0.8885555267333984,0.09783131827910742,0.8788333535194397
10,0.0922915116780334,0.8916666507720947,0.09760949996610482,0.8823333382606506
11,0.08896760580440362,0.8947222232818604,0.09273331767568986,0.887333333492279
12,0.08628397739871785,0.8975555300712585,0.09111257630089918,0.8870000243186951
13,0.08443320274215053,0.9014074206352234,0.09064777996391057,0.8878333568572998
14,0.08229175738438411,0.9035555720329285,0.0896117386718591,0.890666663646698
15,0.08072015387868439,0.9056110978126526,0.08977399244904519,0.8883333206176758
16,0.0789772845528744,0.9068333506584167,0.08835302957644066,0.8880000114440918
17,0.07768316297895378,0.9085370302200317,0.08585897833108902,0.8941666483879089
18,0.07649864749638019,0.9103333353996277,0.08307234526922305,0.8980000019073486
19,0.07505055068543663,0.9120925664901733,0.08368514701724053,0.8966666460037231
20,0.07381272926512691,0.9140926003456116,0.08398053261140982,0.8985000252723694
21,0.07319615120413127,0.9135370254516602,0.08221496604382991,0.9013333320617676
22,0.07186083542527975,0.9156851768493652,0.08131960568328699,0.8996666669845581
23,0.07072416229380502,0.9182037115097046,0.08113931827247142,0.9010000228881836
24,0.07031744730969271,0.9179259538650513,0.08073457752664884,0.9026666879653931
25,0.06998421840921597,0.9183703660964966,0.07946775859842697,0.906000018119812
26,0.06914297998365429,0.9192777872085571,0.07878720238804818,0.902999997138977
27,0.06806644655212209,0.9209259152412415,0.08074109181761742,0.8998333215713501
28,0.06803466249257326,0.920722246170044,0.07746022914846738,0.9045000076293945
29,0.06734325917506659,0.9211666584014893,0.07936154386649528,0.9038333296775818
30,0.06671759088834127,0.9222221970558167,0.07970199125508468,0.9053333401679993
31,0.06678661896536747,0.9225000143051147,0.07710951051364343,0.906499981880188
32,0.06595602989610698,0.9241296052932739,0.07848608332375685,0.903166651725769
33,0.06571281339145368,0.923370361328125,0.07818073549618323,0.903333306312561
34,0.0652599250000936,0.9245926141738892,0.07762532271444797,0.9073333144187927
35,0.0652006125698487,0.9246110916137695,0.07775455216566722,0.9053333401679993
36,0.06524341092617424,0.9246110916137695,0.07737560737878084,0.9054999947547913
37,0.06460793379832197,0.9253333210945129,0.07709391309569279,0.9045000076293945
38,0.06425193464728417,0.925611138343811,0.07593863022824128,0.9075000286102295
39,0.0641584992615713,0.9258888959884644,0.0762130368500948,0.9046666622161865
40,0.06407733325053144,0.9251111149787903,0.07664542769392331,0.9051666855812073
41,0.06366982204080732,0.9258148074150085,0.07541828633596499,0.906499981880188
42,0.0635267805101143,0.9261296391487122,0.07500346973538399,0.9120000004768372
43,0.06362221207883623,0.9277036786079407,0.07649781138946612,0.9036666750907898
44,0.06357245325214333,0.9254999756813049,0.07619833530237277,0.9083333611488342
45,0.06347105479626744,0.9262222051620483,0.07546537934492031,0.9083333611488342
46,0.0630801948270312,0.9274444580078125,0.07558748026688894,0.906499981880188
47,0.06335885025974777,0.92764812707901,0.07524831847598155,0.9085000157356262
48,0.06301451054988084,0.926981508731842,0.07651615962386131,0.9081666469573975
49,0.06274921337694482,0.9282222390174866,0.07555343676358461,0.9054999947547913
50,0.06272958881325191,0.9272407293319702,0.0753067700813214,0.9088333249092102
